CL_IRFCL_INDICATOR_PUB,International Reserves and Foreign Currency Liquidity (IRFCL) Indicator
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC15_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC15_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC15_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC15_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC15_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC15_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC15_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC15_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, At Current Exchange Rate, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC14_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC14_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC14_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC14_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC14_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC14_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC14_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC14_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, + 5 % (Depreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC12_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC12_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC12_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC12_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC12_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC12_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC12_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC12_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 5 % (Appreciation of 5%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC5_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC5_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC5_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC5_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC5_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC5_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC5_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC5_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, +10 % (Depreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC11_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC11_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SUTM_EC11_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC11_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC11_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC11_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SUTM_EC11_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC11_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, - 10 % (Appreciation of 10%), Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC10_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC10_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SUTM_EC10_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_EC10_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC10_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC10_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SUTM_EC10_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, Up to 1 month, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM3MUTY_EC10_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 3 months and up to 1 year, In-the-money Options, Other, Short positions"
IRFCLDT3_IRFCL5_SM1MUT3M_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, Long positions"
IRFCLDT3_IRFCL5_SM1MUT3M_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Options in foreign currencies vis a  vis the domestic currency, More than 1 and up to 3 months, Long positions"
